company_name,website,founder_name,contact_email,industry,sub_sector,product_description,target_customers,location,startup_stage,source
Razorpay,https://razorpay.com,Harshil Mathur,contact@razorpay.com,FinTech,Payment Gateway,Complete payment solutions for Indian businesses with instant settlements,SMEs and startups needing online payments,"Bangalore, Karnataka",Series F,Crunchbase
CRED,https://cred.club,Kunal Shah,hello@cred.club,FinTech,Credit Cards & Rewards,Members-only credit card bill payment platform with rewards,High credit score individuals (750+),"Bangalore, Karnataka",Series E,Y Combinator
Zerodha,https://zerodha.com,Nithin Kamath,support@zerodha.com,FinTech,Stock Brokerage,India's largest retail stockbroker with zero brokerage on equity delivery,Retail investors and traders,"Bangalore, Karnataka",Bootstrapped,Product Hunt
PhonePe,https://phonepe.com,Sameer Nigam,support@phonepe.com,FinTech,Digital Payments,UPI-based digital payments and financial services super app,Mass market Indian consumers,"Bangalore, Karnataka",Acquired by Walmart,Crunchbase
Paytm,https://paytm.com,Vijay Shekhar Sharma,care@paytm.com,FinTech,Digital Payments,Digital wallet and financial services platform,Urban and semi-urban Indian consumers,"Noida, Uttar Pradesh",Public (IPO 2021),Crunchbase
BYJU'S,https://byjus.com,Byju Raveendran,support@byjus.com,EdTech,K-12 Learning,Personalized learning app for students K-12 with video lessons,Students (K-12) and competitive exam aspirants,"Bangalore, Karnataka",Series F,Crunchbase
upGrad,https://upgrad.com,Ronnie Screwvala,support@upgrad.com,EdTech,Higher Education,Online higher education platform for working professionals,Working professionals seeking upskilling,"Mumbai, Maharashtra",Series D,Product Hunt
Unacademy,https://unacademy.com,Gaurav Munjal,support@unacademy.com,EdTech,Test Prep,Online learning platform for competitive exam preparation,Students preparing for UPSC JEE NEET,"Bangalore, Karnataka",Series H,Y Combinator
Meesho,https://meesho.com,Vidit Aatrey,support@meesho.com,E-commerce,Social Commerce,Social commerce platform enabling resellers to start businesses,Small entrepreneurs and resellers in Tier 2-3 cities,"Bangalore, Karnataka",Series F,Y Combinator
Swiggy,https://swiggy.com,Sriharsha Majety,support@swiggy.com,E-commerce,Food Delivery,On-demand food ordering and delivery hyperlocal marketplace,Urban consumers ordering food online,"Bangalore, Karnataka",Series J,Crunchbase
Zomato,https://zomato.com,Deepinder Goyal,support@zomato.com,E-commerce,Food Delivery,Restaurant discovery and food delivery platform,Urban diners and food enthusiasts,"Gurugram, Haryana",Public (IPO 2021),Crunchbase
Dunzo,https://dunzo.com,Kabeer Biswas,support@dunzo.com,E-commerce,Hyperlocal Delivery,24x7 delivery service for groceries and essentials,Urban consumers needing quick deliveries,"Bangalore, Karnataka",Series E,Product Hunt
Nykaa,https://nykaa.com,Falguni Nayar,customercare@nykaa.com,E-commerce,Beauty & Fashion,Online beauty and fashion retailer with omnichannel presence,Women consumers shopping for beauty products,"Mumbai, Maharashtra",Public (IPO 2021),Crunchbase
Ola,https://ola.cab,Bhavish Aggarwal,support@olacabs.com,Mobility,Ride Hailing,Multi-modal transportation platform with ride-hailing and electric vehicles,Urban commuters needing affordable transport,"Bangalore, Karnataka",Series J,Crunchbase
Rapido,https://rapido.bike,Aravind Sanka,support@rapido.bike,Mobility,Bike Taxi,Bike taxi service for quick and affordable urban commutes,Budget-conscious urban commuters,"Bangalore, Karnataka",Series D,Product Hunt
Ather Energy,https://atherenergy.com,Tarun Mehta,contact@atherenergy.com,Mobility,Electric Vehicles,Smart electric scooters with connected features,Tech-savvy urban consumers,"Bangalore, Karnataka",Series E,Crunchbase
Oyo,https://oyorooms.com,Ritesh Agarwal,support@oyorooms.com,Travel & Hospitality,Budget Hotels,Budget hotel chain with standardized rooms and amenities,Budget travelers and business travelers,"Gurugram, Haryana",Series F,Y Combinator
ClearTrip,https://cleartrip.com,Hrush Bhatt,support@cleartrip.com,Travel & Hospitality,Travel Booking,Online travel booking platform for flights and hotels,Middle-class travelers planning trips,"Mumbai, Maharashtra",Acquired by Flipkart,Crunchbase
Licious,https://licious.com,Abhay Hanjura,care@licious.in,E-commerce,Fresh Meat Delivery,Fresh meat and seafood delivery with cold chain,Non-vegetarian households in metro cities,"Bangalore, Karnataka",Series G,Product Hunt
BigBasket,https://bigbasket.com,Hari Menon,support@bigbasket.com,E-commerce,Online Grocery,Online grocery and food delivery supermarket,Urban households ordering groceries online,"Bangalore, Karnataka",Acquired by Tata,Crunchbase
Country Delight,https://countrydelight.in,Chakradhar Gade,support@countrydelight.in,E-commerce,Fresh Food Delivery,Farm-to-home delivery of fresh milk and food products,Health-conscious urban families,"Gurugram, Haryana",Series C,Product Hunt
PharmEasy,https://pharmeasy.in,Dharmil Sheth,care@pharmeasy.in,HealthTech,Online Pharmacy,Online medicine ordering and diagnostic test booking platform,Patients needing convenient medicine delivery,"Mumbai, Maharashtra",Series F,Crunchbase
Practo,https://practo.com,Shashank ND,support@practo.com,HealthTech,Health Services,Healthcare platform for doctor consultations and appointment booking,Patients seeking doctors and health services,"Bangalore, Karnataka",Series E,Crunchbase
1mg,https://1mg.com,Prashant Tandon,contact@1mg.com,HealthTech,Online Pharmacy,Online pharmacy with medicine information and health articles,Patients researching medicines and buying online,"Gurugram, Haryana",Acquired by Tata,Product Hunt
Cure.fit,https://curefit.com,Mukesh Bansal,support@curefit.com,HealthTech,Fitness & Wellness,Integrated health and fitness platform with gyms and nutrition,Health-conscious urban professionals,"Bangalore, Karnataka",Series D,Crunchbase
Sharechat,https://sharechat.com,Ankush Sachdeva,support@sharechat.com,Social Media,Regional Social Network,Regional language social media platform for Bharat,Non-English speaking Indian users,"Bangalore, Karnataka",Series F,Y Combinator
Koo,https://kooapp.com,Aprameya Radhakrishna,hello@kooapp.com,Social Media,Microblogging,Indian alternative to Twitter with multi-language support,Indian users seeking vernacular social media,"Bangalore, Karnataka",Series C,Product Hunt
Urban Company,https://urbancompany.com,Abhiraj Bhal,support@urbancompany.com,Services,Home Services,On-demand platform for home services like beauty and repairs,Urban homeowners needing professional services,"Gurugram, Haryana",Series F,Crunchbase
Dunzo Daily,https://dunzo.com,Kabeer Biswas,support@dunzo.com,E-commerce,Quick Commerce,15-minute grocery delivery from dark stores,Urban consumers needing instant groceries,"Bangalore, Karnataka",Series E,Product Hunt
Zepto,https://zeptonow.com,Aadit Palicha,support@zeptonow.com,E-commerce,Quick Commerce,10-minute grocery delivery service,Urban millennials wanting instant delivery,"Mumbai, Maharashtra",Series E,Y Combinator
Blinkit,https://blinkit.com,Albinder Dhindsa,support@blinkit.com,E-commerce,Quick Commerce,Quick commerce grocery delivery in 8-10 minutes,Time-pressed urban consumers,"Gurugram, Haryana",Acquired by Zomato,Crunchbase
Slice,https://slice.it,Rajan Bajaj,hello@slice.it,FinTech,Credit Cards,Credit card for young Indians with UPI bill payments,Young professionals (18-30) with limited credit history,"Bangalore, Karnataka",Series B,Product Hunt
Jupiter,https://jupiter.money,Jitendra Gupta,hello@jupiter.money,FinTech,Digital Banking,Digital banking app with savings and spending features,Millennials seeking modern banking,"Mumbai, Maharashtra",Series C,Crunchbase
NiYO,https://niyo.money,Vinay Bagri,support@niyosolutions.com,FinTech,Digital Banking,Banking solution for salaried employees and travelers,Salaried professionals and frequent travelers,"Bangalore, Karnataka",Series B,Product Hunt
